oncul,sonuc,support,confidence,lift,birlikte_gorulme
KAYIŞ KASNAK ARIZALARI,Destek,0.4044,0.8472,1.079,1486
Destek,KAYIŞ KASNAK ARIZALARI,0.4044,0.5151,1.079,1486
MOTOR ARIZALARI,Destek,0.7576,0.8467,1.079,2784
Destek,MOTOR ARIZALARI,0.7576,0.965,1.079,2784
OTOMATİK ŞANZIMAN ARIZALARI,ISITMA SİSTEMİ,0.5932,0.7985,1.079,2180
ISITMA SİSTEMİ,OTOMATİK ŞANZIMAN ARIZALARI,0.5932,0.8018,1.079,2180
SOĞUTMA SİSTEMİ ARIZASI,OTOMATİK ŞANZIMAN ARIZALARI,0.723,0.8013,1.079,2657
OTOMATİK ŞANZIMAN ARIZALARI,SOĞUTMA SİSTEMİ ARIZASI,0.723,0.9733,1.079,2657
BASINÇLI HAVA DONANIMI ARIZALARI,KAPI ARIZALARI,0.4939,0.9548,1.078,1815
KAPI ARIZALARI,BASINÇLI HAVA DONANIMI ARIZALARI,0.4939,0.5576,1.078,1815
YAKIT ve ENJEKSİYON ARIZALARI,SOĞUTMA SİSTEMİ ARIZASI,0.618,0.9722,1.077,2271
SOĞUTMA SİSTEMİ ARIZASI,YAKIT ve ENJEKSİYON ARIZALARI,0.618,0.6849,1.077,2271
SOĞUTMA SİSTEMİ ARIZASI,BASINÇLI MOTOR YAĞI SİSTEMİ,0.3439,0.3812,1.077,1264
BASINÇLI MOTOR YAĞI SİSTEMİ,SOĞUTMA SİSTEMİ ARIZASI,0.3439,0.9716,1.077,1264
Destek,ISITMA SİSTEMİ,0.6253,0.7965,1.077,2298
ISITMA SİSTEMİ,Destek,0.6253,0.8452,1.077,2298
YAKIT ve ENJEKSİYON ARIZALARI,KLİMA SİSTEMİ ARIZALARI,0.5921,0.9315,1.076,2176
KLİMA SİSTEMİ ARIZALARI,YAKIT ve ENJEKSİYON ARIZALARI,0.5921,0.6841,1.076,2176
KLİMA SİSTEMİ ARIZALARI,BASINÇLI HAVA DONANIMI ARIZALARI,0.4819,0.5567,1.076,1771
BASINÇLI HAVA DONANIMI ARIZALARI,KLİMA SİSTEMİ ARIZALARI,0.4819,0.9316,1.076,1771
MOTOR ARIZALARI,BASINÇLI HAVA DONANIMI ARIZALARI,0.4969,0.5554,1.074,1826
BASINÇLI HAVA DONANIMI ARIZALARI,MOTOR ARIZALARI,0.4969,0.9605,1.074,1826
BASINÇLI HAVA DONANIMI ARIZALARI,Destek,0.4362,0.8432,1.074,1603
Destek,BASINÇLI HAVA DONANIMI ARIZALARI,0.4362,0.5556,1.074,1603
FREN ŞİKAYETLERİ,BASINÇLI HAVA DONANIMI ARIZALARI,0.4721,0.5556,1.074,1735
BASINÇLI HAVA DONANIMI ARIZALARI,FREN ŞİKAYETLERİ,0.4721,0.9127,1.074,1735
KAPI ARIZALARI,BASINÇLI MOTOR YAĞI SİSTEMİ,0.3369,0.3803,1.074,1238
BASINÇLI MOTOR YAĞI SİSTEMİ,KAPI ARIZALARI,0.3369,0.9516,1.074,1238
KAMERA SİSTEMİ ARIZALARI,BASINÇLI MOTOR YAĞI SİSTEMİ,0.2234,0.3799,1.073,821
BASINÇLI MOTOR YAĞI SİSTEMİ,KAMERA SİSTEMİ ARIZALARI,0.2234,0.6311,1.073,821
KAYIŞ KASNAK ARIZALARI,MOTOR ARIZALARI,0.4582,0.9601,1.073,1684
MOTOR ARIZALARI,KAYIŞ KASNAK ARIZALARI,0.4582,0.5122,1.073,1684
SÜSPANSİYON SİSTEMİ ARIZALARI,KAMERA SİSTEMİ ARIZALARI,0.4386,0.6304,1.072,1612
KAMERA SİSTEMİ ARIZALARI,SÜSPANSİYON SİSTEMİ ARIZALARI,0.4386,0.746,1.072,1612
FREN ŞİKAYETLERİ,OTOMATİK ŞANZIMAN ARIZALARI,0.6762,0.7957,1.071,2485
OTOMATİK ŞANZIMAN ARIZALARI,FREN ŞİKAYETLERİ,0.6762,0.9103,1.071,2485
OTOMATİK ŞANZIMAN ARIZALARI,MOTOR ARIZALARI,0.7113,0.9575,1.07,2614
MOTOR ARIZALARI,OTOMATİK ŞANZIMAN ARIZALARI,0.7113,0.795,1.07,2614
KAMERA SİSTEMİ ARIZALARI,KAYIŞ KASNAK ARIZALARI,0.3004,0.5109,1.07,1104
KAYIŞ KASNAK ARIZALARI,KAMERA SİSTEMİ ARIZALARI,0.3004,0.6294,1.07,1104
YAKIT ve ENJEKSİYON ARIZALARI,KAPI ARIZALARI,0.6016,0.9465,1.069,2211
KAPI ARIZALARI,YAKIT ve ENJEKSİYON ARIZALARI,0.6016,0.6793,1.069,2211
Destek,KLİMA SİSTEMİ ARIZALARI,0.7241,0.9224,1.066,2661
KLİMA SİSTEMİ ARIZALARI,Destek,0.7241,0.8365,1.066,2661
BASINÇLI HAVA DONANIMI ARIZALARI,ISITMA SİSTEMİ,0.4076,0.788,1.065,1498
ISITMA SİSTEMİ,BASINÇLI HAVA DONANIMI ARIZALARI,0.4076,0.5509,1.065,1498
SÜSPANSİYON SİSTEMİ ARIZALARI,KLİMA SİSTEMİ ARIZALARI,0.6416,0.9222,1.065,2358
KLİMA SİSTEMİ ARIZALARI,SÜSPANSİYON SİSTEMİ ARIZALARI,0.6416,0.7413,1.065,2358
