ARAC_SID,toplam_denetim,olumsuz_denetim,olumlu_denetim,ilk_denetim_tar,son_denetim_tar,OLUMSUZ_ORAN
2452,1324,331,993,2024-01-01,2025-12-30,0.25
2453,1675,633,1042,2024-01-01,2025-12-31,0.378
2454,1237,234,1003,2024-01-02,2025-12-30,0.189
2455,1078,307,771,2024-01-01,2025-12-31,0.285
2457,1435,350,1085,2024-01-01,2025-12-31,0.244
2458,1175,354,821,2024-01-01,2025-12-31,0.301
2459,1189,228,961,2024-01-03,2025-12-31,0.192
2460,962,195,767,2024-02-07,2025-12-31,0.203
2462,1971,985,986,2024-01-02,2025-12-31,0.5
2463,1173,216,957,2024-01-04,2025-12-30,0.184
2464,1082,109,973,2024-01-01,2025-12-30,0.101
2466,916,380,536,2024-01-01,2025-12-31,0.415
2467,1817,151,1666,2024-01-13,2025-12-31,0.083
2468,1574,245,1329,2024-01-01,2025-12-27,0.156
2469,1739,327,1412,2024-01-01,2025-12-31,0.188
2470,1582,271,1311,2024-01-01,2025-12-31,0.171
2472,1253,216,1037,2024-01-08,2025-12-30,0.172
2473,1148,294,854,2024-01-01,2025-12-31,0.256
2474,1161,427,734,2024-01-01,2025-12-31,0.368
