SIDARAC,marka,arac_yasi,yakitturu,garaj_ilce,RF_ARIZA_SKORU,RF_RISK_ETIKETI,RF_ARIZA_OLASILIGI,RİSK_SEVİYESİ,HEDEF_ARIZA_30GUN
155.0,BMC,9.0,MOTORIN,Küçükçekmece,94.5,🔴 Kritik,0.9447014081493093,🔴 YÜKSEK RİSK,1
156.0,BMC,9.0,MOTORIN,Küçükçekmece,83.1,🔴 Kritik,0.8311273659024709,🔴 YÜKSEK RİSK,1
157.0,BMC,9.0,MOTORIN,Küçükçekmece,89.8,🔴 Kritik,0.8984491643227763,🔴 YÜKSEK RİSK,1
158.0,BMC,9.0,MOTORIN,Küçükçekmece,91.5,🔴 Kritik,0.9147571013114204,🔴 YÜKSEK RİSK,1
159.0,BMC,9.0,MOTORIN,Küçükçekmece,93.8,🔴 Kritik,0.938033975552664,🔴 YÜKSEK RİSK,1
160.0,BMC,8.0,MOTORIN,Küçükçekmece,95.9,🔴 Kritik,0.9585454052895038,🔴 YÜKSEK RİSK,1
161.0,BMC,8.0,MOTORIN,Küçükçekmece,97.9,🔴 Kritik,0.979226344172519,🔴 YÜKSEK RİSK,1
162.0,BMC,8.0,MOTORIN,Küçükçekmece,98.1,🔴 Kritik,0.9806434344095031,🔴 YÜKSEK RİSK,1
163.0,BMC,8.0,MOTORIN,Küçükçekmece,94.2,🔴 Kritik,0.9423188043559989,🔴 YÜKSEK RİSK,1
164.0,BMC,8.0,MOTORIN,Küçükçekmece,96.0,🔴 Kritik,0.960352474722163,🔴 YÜKSEK RİSK,1
165.0,BMC,8.0,MOTORIN,Küçükçekmece,99.0,🔴 Kritik,0.9901575765280479,🔴 YÜKSEK RİSK,1
166.0,BMC,8.0,MOTORIN,Küçükçekmece,95.6,🔴 Kritik,0.9562389600742768,🔴 YÜKSEK RİSK,1
167.0,BMC,8.0,MOTORIN,Küçükçekmece,90.1,🔴 Kritik,0.9006468796561271,🔴 YÜKSEK RİSK,1
168.0,BMC,8.0,MOTORIN,Küçükçekmece,93.4,🔴 Kritik,0.9343408452567555,🔴 YÜKSEK RİSK,1
169.0,BMC,8.0,MOTORIN,Küçükçekmece,97.8,🔴 Kritik,0.9777246046022375,🔴 YÜKSEK RİSK,1
170.0,BMC,8.0,MOTORIN,Küçükçekmece,96.9,🔴 Kritik,0.9687587222613031,🔴 YÜKSEK RİSK,1
171.0,BMC,8.0,MOTORIN,Küçükçekmece,94.9,🔴 Kritik,0.9486048096260206,🔴 YÜKSEK RİSK,1
